,date,username,content
182,2022-05-06 15:17:29+00:00,euforiyah,NGUPUL TUH APA NGUPUL WEY WKWKKWWK TYPO NYA JELEK BETOL KEK SIFATNYA https://t.co/ryGUjFgaOv
183,2022-05-06 15:17:29+00:00,wzdrft,demi allah junkyu asa doang JELEK BGT
184,2022-05-06 15:17:12+00:00,cruxcygnus,@jiandacantik Jelek banget pake day mode
185,2022-05-06 15:17:09+00:00,vKaaeya,@lifeofsaikik takdirnya jelek https://t.co/VVLG4fKSi4
186,2022-05-06 15:17:05+00:00,jeonghanivrse,"@awspaw GA PERNAH JELEK😭😭😭 pas yg dia scene berenang juga maish tetep ganteng gue sampe kek ""hahhh ganteng bgt"" gitu tau ka😭😭 https://t.co/kwQK9HpW8m"
187,2022-05-06 15:17:03+00:00,muhdaffailyasa,@margrietje666 Big pp energy
188,2022-05-06 15:17:03+00:00,kingcyj13,"@constaellatae ya Allah bener banget, aku tadi refresh langsung muncul gitu rasanya kesel sendiri.. beneran hybe gak bisa ngelola 1 chanel untuk banyak artis gini menurut ku huhu malah jadi jelek dan bikin bingung 😕 beda ceritanya kalo beda jadwal okelah, nah ini gimana coba :("
189,2022-05-06 15:16:56+00:00,taaasssyaa,@M_imadd Doa nya jelek 😌😌
190,2022-05-06 15:16:55+00:00,galaaxyours,"makasi juga ya uda mau jadi orang baik, orang keren, orang yg tulus, dan juga orang yang bisa menghargai seseorang! maaf kl terkadang dunia itu jahat sama kamu, dunia mah jelek,  yg cakep cuman kamu SSJSJSJS jadi semangat terus ya cantik💗💗"
191,2022-05-06 15:16:55+00:00,ktoparkjeongwoo,"@widihaechan yedam kapan jelek nya sih gue tanya, dia ganteng mulu anjing pusink"
192,2022-05-06 15:16:55+00:00,sailormunjun,@kyeomsattacca Bahasa Inggris aku aja jelek bgt huhu. Pas lulus sekolah tuh pengen banget kuliah jurussan bahasa Inggris tapi gak diijinin jadi awal niat aku pen kuliah ilang aja gitu wkwk sampe skrg aku kadanh suka liat2 tempat wisata di negara negara lain gitu huhu
